ORIGIN_AIRPORT_ID,CODE,NAME,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,total
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",19790.0,Delta Air Lines Inc.,608,Boeing 717-200,2080.0,2496.0,1157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5733.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",19805.0,American Airlines Inc.,614,Boeing 737-800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,39.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20046.0,Air Wisconsin Airlines Corp,629,Canadair RJ-200ER /RJ-440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,299.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20304.0,SkyWest Airlines Inc.,629,Canadair RJ-200ER /RJ-440,2478.0,2347.0,1078.0,195.0,116.0,0.0,124.0,1659.0,1603.0,2167.0,1691.0,1220.0,14678.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20304.0,SkyWest Airlines Inc.,631,Canadair RJ-700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20304.0,SkyWest Airlines Inc.,638,Canadair CRJ 900,117.0,40.0,13.0,0.0,0.0,249.0,0.0,0.0,0.0,0.0,51.0,43.0,513.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20304.0,SkyWest Airlines Inc.,673,Embraer ERJ-175,0.0,0.0,0.0,0.0,158.0,658.0,43.0,0.0,0.0,940.0,26.0,0.0,1825.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20363.0,Endeavor Air Inc.,629,Canadair RJ-200ER /RJ-440,48.0,45.0,0.0,0.0,0.0,484.0,729.0,0.0,0.0,0.0,0.0,0.0,1306.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20363.0,Endeavor Air Inc.,631,Canadair RJ-700,774.0,453.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20363.0,Endeavor Air Inc.,638,Canadair CRJ 900,2073.0,1981.0,1182.0,0.0,0.0,0.0,24.0,0.0,0.0,650.0,1033.0,1414.0,8357.0
