ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,hub_cat,diff,pct_change,change_category,total_2019,total_2020,total_2021,total_2022,diff_2022,change_type,total_50s_2019,pct_50_2019,total_50s_2022,pct_50_2022,Latitude,Longitude
10372,ASE,CO,Aspen Pitkin County Sardy Field,Aspen,100k-1 million,no,N,loss,-2.6,less than -10%,6065,4299,5480,5908,428,more,0,0.0,0,0.0,39.2197303,-106.8646011
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,L,loss,-20.6,at least -20%,395557,245314,312541,314165,1624,more,37002,9.354404043,17658,5.620613372,33.64095,-84.443945
10408,ATW,WI,Appleton International,Appleton,100k-1 million,no,S,loss,-8.5,less than -10%,6690,4736,7185,6120,-1065,less,3839,57.38415546,3729,60.93137255,44.2605,-88.5111
10409,ATY,SD,Watertown Regional,Watertown,10k-100k,yes,N,gain,24.1,at least 20%,502,588,916,623,-293,less,502,100.0,596,95.66613162,44.92257,-97.15795
10423,AUS,TX,Austin - Bergstrom International,Austin,more than 5 million,no,L,gain,30.5,at least 30%,67047,36881,60706,87491,26785,more,171,0.255044968,23,0.026288418,30.1974711,-97.6663529
10431,AVL,NC,Asheville Regional,Asheville,100k-1 million,no,S,loss,-4.1,less than -10%,10702,6629,10199,10261,62,more,3545,33.1246496,1198,11.67527531,35.4348962,-82.5378541
10434,AVP,PA,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,100k-1 million,no,N,loss,-52.8,at least -30%,5970,2818,2944,2816,-128,less,4058,67.97319933,1224,43.46590909,41.3377564,-75.7237821
10466,AZA,AZ,Phoenix - Mesa Gateway,Phoenix,100k-1 million,no,S,gain,1.3,less than 10%,5687,4873,5985,5759,-226,less,0,0.0,0,0.0,33.3089787,-111.6559353
10469,AZO,MI,Kalamazoo/Battle Creek International,Kalamazoo,100k-1 million,no,N,loss,-55.1,at least -30%,3697,2087,2134,1661,-473,less,2866,77.52231539,1588,95.60505719,42.2314382,-85.5512496
10529,BDL,CT,Bradley International,Hartford,1-5 million,no,M,loss,-18.4,at least -10%,29137,15666,20757,23788,3031,more,1509,5.17898205,107,0.449806625,41.9388735,-72.6860314
10558,BFF,NE,Western Neb. Regional/William B. Heilig Field,Scottsbluff,10k-100k,yes,N,gain,18.1,at least 10%,668,674,672,789,117,more,618,92.51497006,720,91.25475285,41.8696365,-103.5926208
10559,BFI,WA,Boeing Field/King County International,Seattle,10k-100k,no,N,loss,-1.8,less than -10%,1933,752,1357,1898,541,more,0,0.0,0,0.0,47.5369043,-122.3038555
10561,BFL,CA,Meadows Field,Bakersfield,100k-1 million,no,N,gain,2.4,less than 10%,2439,1965,2665,2497,-168,less,808,33.12833128,669,26.79215058,35.4357649,-119.0574881
10562,BFM,AL,Mobile International,Mobile,10k-100k,no,,loss,-100.0,at least -30%,154,40,1,0,-1,less,0,0.0,0,,30.67762,-88.06907
10577,BGM,NY,Greater Binghamton/Edwin A. Link Field,Binghamton,10k-100k,no,N,loss,-60.5,at least -30%,951,425,364,376,12,more,939,98.73817035,350,93.08510638,42.2081084,-75.9820633
10581,BGR,ME,Bangor International,Bangor,100k-1 million,no,N,loss,-6.1,less than -10%,5600,2931,5037,5259,222,more,3719,66.41071429,462,8.784940103,44.808176,-68.8165036
10599,BHM,AL,Birmingham-Shuttlesworth International,Birmingham,1-5 million,no,S,loss,-27.3,at least -20%,20631,11549,14377,14992,615,more,4688,22.72308662,2143,14.29429029,33.5625094,-86.7541573
10613,BID,RI,Block Island State,Block Island,10k-100k,no,N,loss,-8.9,less than -10%,4132,3274,4026,3765,-261,less,0,0.0,0,0.0,41.1616556,-71.5842643
10617,BIH,CA,Bishop Airport,Bishop,less than 10k,no,,gain,,other,0,0,45,334,289,more,0,0.0,0,0.0,37.3714,-118.3661
10620,BIL,MT,Billings Logan International,Billings,100k-1 million,no,S,loss,-25.6,at least -20%,10032,8998,10054,7459,-2595,less,910,9.070972887,84,1.126156321,45.8035081,-108.5379142
10627,BIS,ND,Bismarck Municipal,Bismarck/Mandan,100k-1 million,no,N,loss,-31.5,at least -30%,5295,3515,4144,3625,-519,less,3116,58.84796978,1112,30.67586207,46.8054947,-100.7876931
10631,BJI,MN,Bemidji Regional,Bemidji,10k-100k,yes,N,loss,-11.9,at least -10%,964,915,971,849,-122,less,739,76.65975104,730,85.98351001,47.471573,-94.8826861
10643,BKG,MO,Branson Airport,Branson,10k-100k,no,N,loss,-78.8,at least -30%,222,62,70,47,-23,less,0,0.0,0,0.0,36.5385446,-93.1990729
10654,BKW,WV,Raleigh County Memorial,Beckley,10k-100k,yes,,gain,7.2,less than 10%,1096,1142,1339,1175,-164,less,1095,99.90875912,1170,99.57446809,37.7381597,-81.2518833
10666,BLI,WA,Bellingham International,Bellingham,100k-1 million,no,N,gain,10.3,at least 10%,3279,1438,2374,3618,1244,more,0,0.0,0,0.0,48.7955792,-122.5330643
10676,BLV,IL,Scott AFB MidAmerica St Louis,Belleville,100k-1 million,no,N,gain,10.3,at least 10%,1010,993,1270,1114,-156,less,0,0.0,0,0.0,38.5476947,-89.815898
10685,BMI,IL,Central Il Regional Airport at Bloomington,Bloomington/Normal,100k-1 million,no,N,loss,-14.4,at least -10%,3004,1889,2620,2571,-49,less,896,29.82689747,731,28.43251653,39.165325,-86.5263857
10693,BNA,TN,Nashville International,Nashville,more than 5 million,no,L,gain,4.2,less than 10%,85202,58223,76248,88787,12539,more,3918,4.598483604,1572,1.770529469,36.126317,-86.6773713
10713,BOI,ID,Boise Air Terminal,Boise,1-5 million,no,M,gain,1.5,less than 10%,25687,18804,25010,26065,1055,more,1724,6.711566162,1148,4.404373681,43.5658231,-116.222316
10721,BOS,MA,Logan International,Boston,more than 5 million,no,L,loss,-11.6,at least -10%,168616,83787,106229,149074,42845,more,1875,1.111994117,1468,0.984745831,42.3660462,-71.015253
10728,BPT,TX,Jack Brooks Regional,Beaumont/Port Arthur,10k-100k,no,N,loss,-18.6,at least -10%,961,646,939,782,-157,less,961,100.0,671,85.8056266,29.955004,-94.01843
10731,BQK,GA,Brunswick Golden Isles,Brunswick,10k-100k,no,N,loss,-15.9,at least -10%,1035,785,1030,870,-160,less,1035,100.0,870,100.0,31.2548331,-81.4669111
10739,BRD,MN,Brainerd Lakes Regional,Brainerd,10k-100k,yes,N,gain,14.0,at least 10%,641,615,639,731,92,more,628,97.97191888,731,100.0,46.3526733,-94.2020084
10747,BRO,TX,Brownsville South Padre Island International,Brownsville,100k-1 million,no,N,loss,-14.0,at least -10%,2664,1765,2373,2292,-81,less,1129,42.37987988,1103,48.12390925,25.947508,-97.505974
10779,BTM,MT,Bert Mooney,Butte,10k-100k,yes,N,loss,-10.6,at least -10%,677,628,690,605,-85,less,674,99.55686854,605,100.0,45.9551935,-112.5021977
10781,BTR,LA,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,100k-1 million,no,N,loss,-28.0,at least -20%,7632,4515,5647,5493,-154,less,2144,28.09224319,1887,34.35281267,30.4514677,-91.1871466
10785,BTV,VT,Burlington International,Burlington,100k-1 million,no,S,loss,-22.3,at least -20%,11734,5546,7142,9115,1973,more,4845,41.2902676,903,9.90674712,44.4706939,-73.1516037
10792,BUF,NY,Buffalo Niagara International,Buffalo,1-5 million,no,S,loss,-27.0,at least -20%,27938,13534,16701,20400,3699,more,4596,16.45071229,1110,5.441176471,42.9397059,-78.7295067
10800,BUR,CA,Bob Hope,Burbank,1-5 million,no,S,gain,0.8,less than 10%,31457,16096,20223,31716,11493,more,1767,5.617191722,784,2.471938454,34.19853,-118.35741
10821,BWI,MD,Baltimore/Washington International Thurgood Marshall,Baltimore,more than 5 million,no,L,loss,-20.8,at least -20%,107760,71127,76375,85362,8987,more,5097,4.729955457,598,0.70054591,39.1775715,-76.6683889
10849,BZN,MT,Bozeman Yellowstone International,Bozeman,100k-1 million,no,S,gain,21.5,at least 20%,8359,6929,11659,10154,-1505,less,768,9.187701878,160,1.575733701,45.7784043,-111.1612273
10868,CAE,SC,Columbia Metropolitan,Columbia,100k-1 million,no,S,loss,-26.4,at least -20%,11371,6929,8252,8368,116,more,5039,44.31448421,2792,33.36520076,33.941917,-81.1220015
10874,CAK,OH,Akron-Canton Regional,Akron,100k-1 million,no,N,loss,-49.4,at least -30%,7598,3669,3887,3848,-39,less,4675,61.52934983,1315,34.17359667,40.811935,-81.3685533
10918,CDC,UT,Cedar City Regional,Cedar City,10k-100k,yes,N,loss,-18.4,at least -10%,766,414,627,625,-2,less,748,97.65013055,624,99.84,37.6774769,-113.0618931
10967,CGI,MO,Cape Girardeau Regional,Cape Girardeau,10k-100k,yes,,loss,-33.6,at least -30%,926,567,598,615,17,more,926,100.0,615,100.0,37.226842,-89.5645181
10980,CHA,TN,Lovell Field,Chattanooga,100k-1 million,no,S,loss,-34.5,at least -30%,10184,5578,7060,6668,-392,less,5408,53.10290652,2789,41.82663467,35.0374486,-85.1970112
10990,CHO,VA,Charlottesville Albemarle,Charlottesville,100k-1 million,no,N,loss,-36.0,at least -30%,8819,4426,4867,5644,777,more,7121,80.74611634,3183,56.39617293,38.0293059,-78.4766781
10994,CHS,SC,Charleston AFB/International,Charleston,1-5 million,no,M,loss,-2.2,less than -10%,27095,15345,25169,26505,1336,more,2368,8.739619856,364,1.373325788,32.8909785,-80.0691552
11003,CID,IA,The Eastern Iowa,Cedar Rapids/Iowa City,100k-1 million,no,S,loss,-20.9,at least -20%,10451,6660,8996,8271,-725,less,4805,45.97646158,3227,39.01583847,41.88653,-91.70704
11013,CIU,MI,Chippewa County International,Sault Ste. Marie,10k-100k,yes,N,gain,6.3,less than 10%,667,703,731,709,-22,less,667,100.0,709,100.0,45.0673752,-91.2924666
11027,CKB,WV,North Central West Virginia,Clarksburg/Fairmont,10k-100k,yes,N,gain,14.6,at least 10%,905,775,921,1037,116,more,726,80.22099448,802,77.33847637,38.5976262,-80.4549026
11042,CLE,OH,Cleveland-Hopkins International,Cleveland,1-5 million,no,M,loss,-25.3,at least -20%,51455,27258,34769,38427,3658,more,10347,20.10883296,775,2.016811096,41.4057985,-81.8538669
11049,CLL,TX,Easterwood Field,College Station/Bryan,10k-100k,no,N,loss,-41.5,at least -30%,2248,1409,2030,1314,-716,less,1838,81.76156584,576,43.83561644,30.627977,-96.3344068
11057,CLT,NC,Charlotte Douglas International,Charlotte,more than 5 million,no,L,loss,-16.5,at least -10%,253084,176723,224392,211216,-13176,less,32298,12.7617708,24050,11.386448,35.2162991,-80.9539475
11066,CMH,OH,John Glenn Columbus International,Columbus,1-5 million,no,M,loss,-21.4,at least -20%,49448,26730,32352,38874,6522,more,5407,10.9347193,821,2.111951433,39.9999399,-82.8871767
11067,CMI,IL,University of Illinois/Willard,Champaign/Urbana,100k-1 million,no,N,loss,-46.9,at least -30%,2810,1501,1724,1491,-233,less,2785,99.11032028,1423,95.43930248,40.0364962,-88.2639879
11076,CMX,MI,Houghton County Memorial,Hancock/Houghton,10k-100k,yes,N,loss,-6.7,less than -10%,685,676,711,639,-72,less,682,99.5620438,637,99.68701095,47.0499507,-88.6148185
11092,CNY,UT,Canyonlands Regional,Moab,10k-100k,yes,N,gain,7.8,less than 10%,592,621,710,638,-72,less,592,100.0,638,100.0,38.2135733,-109.9025345
11097,COD,WY,Yellowstone Regional,Cody,10k-100k,yes,N,loss,-12.1,at least -10%,1084,696,1038,953,-85,less,1065,98.24723247,950,99.68520462,44.5170669,-109.0227432
11109,COS,CO,City of Colorado Springs Municipal,Colorado Springs,100k-1 million,no,S,gain,9.3,less than 10%,11163,6614,12072,12203,131,more,5131,45.9643465,2475,20.28189789,38.8338816,-104.8213634
11111,COU,MO,Columbia Regional,Columbia,100k-1 million,no,N,loss,-47.7,at least -30%,3084,1724,1784,1612,-172,less,1583,51.32944228,506,31.38957816,38.81752,-92.22156
11122,CPR,WY,Casper/Natrona County International,Casper,10k-100k,no,N,loss,-23.6,at least -20%,2311,1601,2002,1766,-236,less,1806,78.14798788,1443,81.71007928,42.848709,-106.2980824
11140,CRP,TX,Corpus Christi International,Corpus Christi,100k-1 million,no,N,loss,-11.7,at least -10%,5786,3779,4870,5107,237,more,1644,28.41341168,2141,41.92285099,27.8005828,-97.396381
11146,CRW,WV,West Virginia International Yeager,Charleston/Dunbar,100k-1 million,no,N,loss,-36.8,at least -30%,5143,2968,3392,3251,-141,less,4069,79.11724674,1402,43.12519225,38.3714489,-81.5934922
11150,CSG,GA,Columbus Airport,Columbus,10k-100k,no,N,gain,58.2,at least 30%,1293,943,1459,2046,587,more,1274,98.53054911,1387,67.79081134,39.9611755,-82.9987942
11193,CVG,KY,Cincinnati/Northern Kentucky International,Cincinnati,1-5 million,no,M,loss,-26.3,at least -20%,51086,27356,34987,37659,2672,more,10410,20.37740281,1803,4.787700151,39.051351,-84.6671453
11197,CVN,NM,Clovis Regional,Clovis,less than 10k,yes,,loss,-35.3,at least -30%,964,737,618,624,6,more,0,0.0,443,70.99358974,34.48336,-103.09665
11203,CWA,WI,Central Wisconsin,Mosinee,100k-1 million,no,N,loss,-47.8,at least -30%,3443,2062,2804,1798,-1006,less,3413,99.12866686,1794,99.77753059,44.523165,-89.5831373
11233,CYS,WY,Cheyenne Regional/Jerry Olson Field,Cheyenne,10k-100k,no,,gain,15.2,at least 10%,566,148,205,652,447,more,484,85.51236749,637,97.6993865,41.1529786,-104.8106149
11252,DAB,FL,Daytona Beach International,Daytona Beach,100k-1 million,no,N,loss,-19.3,at least -10%,3408,2547,3302,2749,-553,less,1,0.029342723,1,0.036376864,29.2108147,-81.0228331
11259,DAL,TX,Dallas Love Field,Dallas,more than 5 million,no,M,loss,-11.6,at least -10%,72512,48999,56938,64115,7177,more,1,0.001379082,0,0.0,32.85203,-96.8587106
11267,DAY,OH,James M Cox/Dayton International,Dayton,100k-1 million,no,S,loss,-40.3,at least -30%,16404,8601,10789,9799,-990,less,7467,45.51938552,3575,36.48331462,39.7589478,-84.1916069
11274,DBQ,IA,Dubuque Regional,Dubuque,10k-100k,no,N,loss,-55.2,at least -30%,985,453,562,441,-121,less,985,100.0,441,100.0,42.4015826,-90.7094375
11278,DCA,VA,Ronald Reagan Washington National,Washington,more than 5 million,no,L,gain,1.2,less than 10%,139960,63918,83542,141620,58078,more,22679,16.2039154,1,0.000706115,38.851242,-77.0402315
11288,DEC,IL,Decatur Airport,Decatur,less than 10k,yes,,loss,-45.4,at least -30%,1842,794,599,1005,406,more,0,0.0,1005,100.0,39.8331255,-88.8773767
11292,DEN,CO,Denver International,Denver,more than 5 million,no,L,loss,-3.8,less than -10%,288617,199642,267640,277694,10054,more,57367,19.87651455,39491,14.22104907,39.8596325,-104.6761388
11298,DFW,TX,Dallas/Fort Worth International,Dallas/Fort Worth,more than 5 million,no,L,loss,-9.8,less than -10%,302386,218379,275116,272740,-2376,less,32428,10.72404146,21377,7.837867566,32.8998091,-97.0403352
11308,DHN,AL,Dothan Regional,Dothan,10k-100k,no,N,loss,-32.5,at least -30%,1382,879,1062,933,-129,less,1382,100.0,883,94.64094319,31.2232313,-85.3904888
11315,DIK,ND,Dickinson - Theodore Roosevelt Regional,Dickinson,10k-100k,yes,N,loss,-6.4,less than -10%,613,441,532,574,42,more,613,100.0,574,100.0,46.8016664,-102.7928843
11337,DLH,MN,Duluth International,Duluth,100k-1 million,no,N,loss,-29.7,at least -20%,3274,1965,2458,2301,-157,less,2368,72.32742822,1340,58.23554976,46.8383667,-92.1800442
11413,DRO,CO,Durango La Plata County,Durango,100k-1 million,no,N,loss,-15.4,at least -10%,4225,2725,4370,3573,-797,less,1495,35.38461538,1187,33.22138259,37.27528,-107.8800667
11415,DRT,TX,Del Rio International,Del Rio,10k-100k,no,N,loss,-4.3,less than -10%,714,422,642,683,41,more,714,100.0,268,39.238653,29.3708857,-100.8958674
11423,DSM,IA,Des Moines International,Des Moines,1-5 million,no,S,loss,-19.7,at least -10%,18251,11798,14349,14656,307,more,2618,14.34441948,973,6.638919214,41.5868353,-93.6249593
11433,DTW,MI,Detroit Metro Wayne County,Detroit,more than 5 million,no,L,loss,-28.6,at least -20%,175364,107378,129516,125239,-4277,less,27421,15.63661869,12162,9.711032506,42.2132203,-83.3524824
11447,DVL,ND,Devils Lake Regional,Devils Lake,less than 10k,yes,,gain,4.0,less than 10%,598,573,633,622,-11,less,598,100.0,622,100.0,48.10919,-98.90391
11468,EAR,NE,Kearney Regional,Kearney,10k-100k,yes,N,gain,5.0,less than 10%,655,708,941,688,-253,less,654,99.84732824,687,99.85465116,40.6819259,-99.1127073
11470,EAT,WA,Pangborn Memorial,Wenatchee,10k-100k,no,N,loss,-48.7,at least -30%,1143,699,794,586,-208,less,0,0.0,0,0.0,47.4045104,-120.2102355
11471,EAU,WI,Chippewa Valley Regional,Eau Claire,10k-100k,yes,N,loss,-29.2,at least -20%,698,684,712,494,-218,less,697,99.85673352,478,96.7611336,44.8609,-91.48157
11481,ECP,FL,Northwest Florida Beaches International,Panama City,100k-1 million,no,S,gain,11.9,at least 10%,6565,6595,9915,7349,-2566,less,685,10.43412034,747,10.16464825,27.6648274,-81.5157535
11503,EGE,CO,Eagle County Regional,Eagle,100k-1 million,no,N,gain,22.9,at least 20%,2291,1883,2848,2816,-32,less,0,0.0,0,0.0,39.576406,-106.7234639
11525,EKO,NV,Elko Regional,Elko,10k-100k,no,N,loss,-46.3,at least -30%,672,544,671,361,-310,less,672,100.0,361,100.0,40.8324211,-115.7631232
11537,ELM,NY,Elmira/Corning Regional,Elmira/Corning,100k-1 million,no,N,loss,-63.3,at least -30%,2726,1181,1062,1001,-61,less,720,26.41232575,5,0.4995005,42.1607611,-76.8926216
11540,ELP,TX,El Paso International,El Paso,1-5 million,no,S,loss,-8.4,less than -10%,19490,10716,14265,17845,3580,more,1842,9.451000513,1126,6.309890726,31.8108956,-106.3640398
11577,ERI,PA,Erie International/Tom Ridge Field,Erie,100k-1 million,no,N,loss,-45.4,at least -30%,2539,1470,1546,1386,-160,less,2533,99.76368649,1239,89.39393939,42.0851397,-80.17134
11587,ESC,MI,Delta County,Escanaba,10k-100k,yes,N,gain,14.5,at least 10%,605,577,675,693,18,more,605,100.0,693,100.0,38.8531357,-107.763621
11603,EUG,OR,Mahlon Sweet Field,Eugene,100k-1 million,no,S,gain,5.5,less than 10%,8802,6295,8674,9285,611,more,1157,13.14473983,657,7.075928918,44.1217811,-123.2159003
11612,EVV,IN,Evansville Regional,Evansville,100k-1 million,no,N,loss,-51.7,at least -30%,5434,3568,3929,2627,-1302,less,4235,77.93522267,1129,42.9767796,38.0433641,-87.5271754
11617,EWN,NC,Coastal Carolina Regional,New Bern/Morehead/Beaufort,100k-1 million,no,N,loss,-51.1,at least -30%,2524,1471,1474,1235,-239,less,1420,56.25990491,297,24.048583,35.073541,-77.041255
11618,EWR,NJ,Newark Liberty International,Newark,more than 5 million,no,L,loss,-9.0,less than -10%,154377,73283,99639,140548,40909,more,32639,21.14239816,15,0.01067251,40.6895314,-74.1744624
11624,EYW,FL,Key West International,Key West,100k-1 million,no,S,gain,10.7,at least 10%,8418,6626,11641,9319,-2322,less,13,0.154430981,0,0.0,24.5550593,-81.7799871
11637,FAR,ND,Hector International,Fargo,100k-1 million,no,S,loss,-16.6,at least -10%,7413,4989,6436,6181,-255,less,3552,47.91582355,2029,32.82640349,46.9218308,-96.8167025
11638,FAT,CA,Fresno Yosemite International,Fresno,100k-1 million,no,S,loss,-16.1,at least -10%,12713,8022,11894,10663,-1231,less,3749,29.48949894,2246,21.06349057,36.7782273,-119.7165417
11641,FAY,NC,Fayetteville Regional/Grannis Field,Fayetteville,100k-1 million,no,N,loss,-29.4,at least -20%,4077,2782,3396,2877,-519,less,2313,56.73289183,1153,40.07646854,34.9910665,-78.887089
11648,FCA,MT,Glacier Park International,Kalispell,100k-1 million,no,S,loss,-6.4,less than -10%,4727,4170,5706,4426,-1280,less,921,19.48381637,206,4.654315409,48.3076648,-114.2525337
11695,FLG,AZ,Flagstaff Pulliam,Flagstaff,100k-1 million,no,N,loss,-19.5,at least -10%,2482,1815,2883,1998,-885,less,538,21.67606769,170,8.508508509,35.1402957,-111.6710476
11697,FLL,FL,Fort Lauderdale-Hollywood International,Fort Lauderdale,more than 5 million,no,L,loss,-16.4,at least -10%,100867,62377,88122,84328,-3794,less,4,0.003965618,0,0.0,26.0742344,-80.1506022
11699,FLO,SC,Florence Regional,Florence,10k-100k,no,N,loss,-36.1,at least -30%,1223,609,726,781,55,more,1207,98.69174162,668,85.53137004,34.19336,-79.72826
11719,FNL,CO,Northern Colorado Regional,Fort Collins/Loveland,less than 10k,no,,gain,,other,0,0,30,96,66,more,0,0.0,1,1.041666667,40.4498417,-105.0053875
11721,FNT,MI,Bishop International,Flint,100k-1 million,no,N,loss,-25.1,at least -20%,4291,3170,3383,3216,-167,less,2030,47.30831974,1351,42.00870647,42.97397,-83.73952
11762,FRD,WA,Friday Harbor Airport,Friday Harbor,10k-100k,no,N,loss,-1.9,less than -10%,2299,1033,1982,2256,274,more,0,0.0,0,0.0,48.5248261,-123.0261848
11775,FSD,SD,Joe Foss Field,Sioux Falls,100k-1 million,no,S,loss,-10.9,at least -10%,8463,5971,8252,7544,-708,less,4075,48.15077396,2055,27.24019088,43.5828065,-96.7402171
11778,FSM,AR,Fort Smith Regional,Fort Smith,10k-100k,no,N,loss,-35.1,at least -30%,2134,1199,1298,1384,86,more,1148,53.79568885,595,42.99132948,35.33771,-94.3656
11823,FWA,IN,Fort Wayne International,Fort Wayne,100k-1 million,no,S,loss,-23.6,at least -20%,7654,5419,6067,5847,-220,less,4820,62.97360857,3189,54.54079015,41.079273,-85.1393513
11865,GCC,WY,Northeast Wyoming Regional,Gillette,10k-100k,no,N,loss,-18.3,at least -10%,756,558,739,618,-121,less,753,99.6031746,616,99.6763754,43.0759678,-107.2902839
11867,GCK,KS,Garden City Regional,Garden City,10k-100k,yes,N,gain,1.0,less than 10%,701,624,708,708,0,unchg,699,99.7146933,649,91.66666667,37.93021,-100.71167
11884,GEG,WA,Spokane International,Spokane,1-5 million,no,S,loss,-10.1,at least -10%,22053,16110,19531,19818,287,more,681,3.088015236,133,0.671107074,47.6212063,-117.5333722
11898,GFK,ND,Grand Forks International,Grand Forks,100k-1 million,no,N,loss,-33.2,at least -30%,2098,1205,1271,1401,130,more,1453,69.2564347,594,42.39828694,47.9252568,-97.0328547
11905,GGG,TX,East Texas Regional,Longview,10k-100k,no,N,loss,-18.0,at least -10%,941,649,898,772,-126,less,921,97.87460149,703,91.06217617,31.9685988,-99.9018131
11921,GJT,CO,Grand Junction Regional,Grand Junction,100k-1 million,no,N,loss,-25.1,at least -20%,5221,3659,5255,3908,-1347,less,2120,40.60524804,850,21.75025589,39.0638705,-108.5506486
11953,GNV,FL,Gainesville Regional,Gainesville,100k-1 million,no,N,loss,-28.9,at least -20%,5160,3147,3745,3670,-75,less,2963,57.42248062,146,3.978201635,29.6865485,-82.276659
11973,GPT,MS,Gulfport-Biloxi International,Gulfport/Biloxi,100k-1 million,no,N,loss,-18.3,at least -10%,4572,3411,4045,3734,-311,less,1179,25.78740157,1189,31.84252812,30.3674198,-89.0928155
11977,GRB,WI,Green Bay Austin Straubel International,Green Bay,100k-1 million,no,N,loss,-22.2,at least -20%,6225,4024,5211,4845,-366,less,2743,44.06425703,2162,44.62332301,44.4923396,-88.1277541
11980,GRI,NE,Central Nebraska Regional,Grand Island,10k-100k,yes,N,loss,-17.3,at least -10%,1116,796,921,923,2,more,726,65.05376344,440,47.67063922,40.9693717,-98.3185653
11982,GRK,TX,Robert Gray AAF,Killeen,100k-1 million,no,N,loss,-38.9,at least -30%,3369,2179,2988,2060,-928,less,1924,57.1089344,595,28.88349515,31.07389,-97.83564
11986,GRR,MI,Gerald R. Ford International,Grand Rapids,1-5 million,no,S,loss,-22.9,at least -20%,21422,13269,17379,16526,-853,less,4400,20.53963215,1458,8.822461576,42.8825286,-85.524287
11995,GSO,NC,Piedmont Triad International,Greensboro/High Point,1-5 million,no,S,loss,-34.2,at least -30%,18342,9110,11196,12066,870,more,8606,46.91963799,2520,20.88513178,36.1043671,-79.9351805
