ORIGIN_AIRPORT_ID,ORIGIN_STATE_ABR,CODE,NAME,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,total
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790.0,Delta Air Lines Inc.,339,Airbus Industrie A330-900,,,,,,,,1.0,,,,,1.0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790.0,Delta Air Lines Inc.,359,Airbus Industrie A350-900,1.0,,,,,,,5.0,5.0,5.0,1.0,1.0,18.0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",21253.0,"Multi-Aero, Inc. d/b/a Air Choice One",415,Cessna C208B/Grand Caravan,24.0,24.0,27.0,24.0,26.0,26.0,27.0,25.0,26.0,26.0,26.0,26.0,307.0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",21599.0,Boutique Air,479,Pilatus PC-12,135.0,117.0,125.0,116.0,130.0,127.0,117.0,112.0,51.0,52.0,52.0,54.0,1188.0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790.0,Delta Air Lines Inc.,608,Boeing 717-200,4381.0,3950.0,3100.0,1464.0,1267.0,2582.0,3588.0,3213.0,2928.0,2545.0,2844.0,2887.0,34749.0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19393.0,Southwest Airlines Co.,612,Boeing 737-700/700LR/Max 7,2440.0,2270.0,2272.0,851.0,988.0,1509.0,1981.0,1884.0,1685.0,1903.0,1854.0,1700.0,21337.0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790.0,Delta Air Lines Inc.,612,Boeing 737-700/700LR/Max 7,467.0,502.0,418.0,138.0,105.0,79.0,220.0,447.0,96.0,,,,2472.0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19977.0,United Air Lines Inc.,612,Boeing 737-700/700LR/Max 7,12.0,32.0,51.0,1.0,,1.0,,1.0,4.0,43.0,2.0,10.0,157.0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19930.0,Alaska Airlines Inc.,612,Boeing 737-700/700LR/Max 7,,,,1.0,,,,,,,,,1.0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19393.0,Southwest Airlines Co.,614,Boeing 737-800,705.0,654.0,586.0,442.0,343.0,490.0,450.0,695.0,476.0,339.0,382.0,361.0,5923.0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790.0,Delta Air Lines Inc.,614,Boeing 737-800,588.0,480.0,480.0,270.0,437.0,809.0,947.0,1617.0,1700.0,1739.0,1496.0,994.0,11557.0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19805.0,American Airlines Inc.,614,Boeing 737-800,343.0,332.0,357.0,163.0,62.0,3.0,258.0,297.0,173.0,89.0,65.0,154.0,2296.0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19930.0,Alaska Airlines Inc.,614,Boeing 737-800,2.0,,9.0,4.0,,,6.0,7.0,2.0,5.0,2.0,3.0,40.0
