ORIGIN_AIRPORT_ID,CODE,NAME,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,total
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",19790.0,Delta Air Lines Inc.,724,A220-300 BD-500-1A11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,125.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",19805.0,American Airlines Inc.,699,Airbus Industrie A321/Lr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,90.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",19977.0,United Air Lines Inc.,622,Boeing 757-200,0.0,0.0,0.0,0.0,0.0,0.0,334.0,0.0,0.0,0.0,0.0,0.0,334.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",19977.0,United Air Lines Inc.,694,Airbus Industrie A320-100/200,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,102.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",19977.0,United Air Lines Inc.,888,Boeing 737-900ER,0.0,0.0,165.0,0.0,169.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20046.0,Air Wisconsin Airlines Corp,629,Canadair RJ-200ER /RJ-440,1739.0,1661.0,2352.0,3091.0,3055.0,962.0,2624.0,2415.0,466.0,124.0,2419.0,1174.0,22082.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20304.0,SkyWest Airlines Inc.,631,Canadair RJ-700,0.0,91.0,0.0,0.0,0.0,0.0,69.0,78.0,3846.0,268.0,0.0,62.0,4414.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20304.0,SkyWest Airlines Inc.,638,Canadair CRJ 900,174.0,0.0,0.0,0.0,0.0,63.0,4548.0,7249.0,2855.0,5342.0,4724.0,2593.0,27548.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20304.0,SkyWest Airlines Inc.,673,Embraer ERJ-175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3259.0,3735.0,133.0,0.0,7127.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20363.0,Endeavor Air Inc.,631,Canadair RJ-700,2140.0,2194.0,4348.0,4525.0,5457.0,4015.0,1068.0,0.0,0.0,54.0,0.0,0.0,23801.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20363.0,Endeavor Air Inc.,638,Canadair CRJ 900,3193.0,3464.0,3943.0,3775.0,3211.0,4593.0,1598.0,130.0,50.0,82.0,225.0,1864.0,26128.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20368.0,Allegiant Air,694,Airbus Industrie A320-100/200,11310.0,12928.0,18609.0,19583.0,19536.0,23307.0,25687.0,23712.0,14591.0,19055.0,18133.0,17859.0,224310.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20368.0,Allegiant Air,698,Airbus Industrie A319,0.0,0.0,274.0,311.0,0.0,1753.0,2573.0,808.0,0.0,0.0,298.0,154.0,6171.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20397.0,PSA Airlines Inc.,631,Canadair RJ-700,148.0,101.0,164.0,245.0,444.0,1340.0,1281.0,505.0,203.0,163.0,200.0,95.0,4889.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20397.0,PSA Airlines Inc.,638,Canadair CRJ 900,3448.0,4396.0,3779.0,5305.0,4722.0,3867.0,3461.0,4676.0,4618.0,4975.0,4898.0,5238.0,53383.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20398.0,Envoy Air,673,Embraer ERJ-175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,58.0,0.0,208.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20398.0,Envoy Air,675,Embraer-145,174.0,649.0,46.0,1834.0,2364.0,2241.0,2163.0,1134.0,0.0,1734.0,174.0,615.0,13128.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20398.0,Envoy Air,677,Embraer-Emb-170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1059.0,561.0,0.0,1186.0,432.0,3238.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20427.0,Piedmont Airlines,675,Embraer-145,1198.0,28.0,1535.0,314.0,98.0,75.0,0.0,0.0,0.0,0.0,43.0,0.0,3291.0
10135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20452.0,Republic Airline,673,Embraer ERJ-175,0.0,0.0,2.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,139.0
