AIRLINE_ID,UNIQUE_CARRIER_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,total
19393.0,Southwest Airlines Co.,10140.0,ABQ,"Albuquerque, NM",NM,874.0,797.0,793.0,388.0,255.0,455.0,538.0,643.0,463.0,435.0,429.0,361.0,6431.0
19393.0,Southwest Airlines Co.,10194.0,AFW,"Dallas/Fort Worth, TX",TX,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
19393.0,Southwest Airlines Co.,10257.0,ALB,"Albany, NY",NY,298.0,297.0,290.0,125.0,94.0,204.0,215.0,246.0,167.0,158.0,185.0,161.0,2440.0
19393.0,Southwest Airlines Co.,10279.0,AMA,"Amarillo, TX",TX,142.0,132.0,124.0,50.0,61.0,80.0,77.0,111.0,95.0,85.0,94.0,81.0,1132.0
19393.0,Southwest Airlines Co.,10397.0,ATL,"Atlanta, GA",GA,3150.0,2922.0,2857.0,1284.0,1335.0,1999.0,2423.0,2576.0,2162.0,2238.0,2236.0,2062.0,27244.0
19393.0,Southwest Airlines Co.,10423.0,AUS,"Austin, TX",TX,1937.0,1766.0,1711.0,858.0,661.0,903.0,1231.0,1308.0,961.0,931.0,1050.0,910.0,14227.0
19393.0,Southwest Airlines Co.,10529.0,BDL,"Hartford, CT",CT,469.0,449.0,370.0,238.0,186.0,236.0,241.0,282.0,151.0,160.0,216.0,165.0,3163.0
19393.0,Southwest Airlines Co.,10599.0,BHM,"Birmingham, AL",AL,329.0,309.0,314.0,162.0,92.0,149.0,203.0,232.0,144.0,162.0,228.0,194.0,2518.0
19393.0,Southwest Airlines Co.,10693.0,BNA,"Nashville, TN",TN,3266.0,3073.0,3009.0,1358.0,1334.0,2130.0,3003.0,3207.0,2657.0,2790.0,2784.0,2454.0,31065.0
19393.0,Southwest Airlines Co.,10713.0,BOI,"Boise, ID",ID,361.0,327.0,341.0,183.0,99.0,248.0,276.0,275.0,196.0,199.0,236.0,228.0,2969.0
19393.0,Southwest Airlines Co.,10721.0,BOS,"Boston, MA",MA,629.0,559.0,495.0,299.0,285.0,401.0,436.0,457.0,274.0,254.0,280.0,260.0,4629.0
19393.0,Southwest Airlines Co.,10792.0,BUF,"Buffalo, NY",NY,434.0,413.0,441.0,183.0,229.0,294.0,388.0,360.0,203.0,237.0,326.0,288.0,3796.0
19393.0,Southwest Airlines Co.,10800.0,BUR,"Burbank, CA",CA,1826.0,1677.0,1418.0,521.0,458.0,709.0,963.0,865.0,677.0,667.0,633.0,535.0,10949.0
19393.0,Southwest Airlines Co.,10821.0,BWI,"Baltimore, MD",MD,5342.0,4777.0,4861.0,2436.0,2650.0,4083.0,4854.0,4830.0,4045.0,4138.0,4017.0,3759.0,49792.0
19393.0,Southwest Airlines Co.,10980.0,CHA,"Chattanooga, TN",TN,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
19393.0,Southwest Airlines Co.,10994.0,CHS,"Charleston, SC",SC,206.0,174.0,209.0,136.0,131.0,231.0,295.0,262.0,193.0,254.0,257.0,185.0,2533.0
19393.0,Southwest Airlines Co.,11042.0,CLE,"Cleveland, OH",OH,499.0,468.0,470.0,256.0,189.0,273.0,309.0,415.0,250.0,232.0,270.0,280.0,3911.0
19393.0,Southwest Airlines Co.,11057.0,CLT,"Charlotte, NC",NC,247.0,228.0,240.0,120.0,92.0,109.0,116.0,190.0,137.0,152.0,219.0,172.0,2022.0
19393.0,Southwest Airlines Co.,11066.0,CMH,"Columbus, OH",OH,954.0,860.0,909.0,452.0,408.0,561.0,759.0,793.0,453.0,491.0,605.0,497.0,7742.0
19393.0,Southwest Airlines Co.,11109.0,COS,"Colorado Springs, CO",CO,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,7.0
19393.0,Southwest Airlines Co.,11140.0,CRP,"Corpus Christi, TX",TX,117.0,100.0,99.0,40.0,61.0,60.0,60.0,74.0,62.0,62.0,65.0,66.0,866.0
19393.0,Southwest Airlines Co.,11193.0,CVG,"Cincinnati, OH",KY,237.0,222.0,209.0,127.0,90.0,160.0,169.0,174.0,132.0,121.0,173.0,144.0,1958.0
19393.0,Southwest Airlines Co.,11259.0,DAL,"Dallas, TX",TX,5644.0,5330.0,4964.0,2186.0,2297.0,3333.0,3905.0,4270.0,3533.0,3542.0,3624.0,3311.0,45939.0
19393.0,Southwest Airlines Co.,11278.0,DCA,"Washington, DC",VA,1350.0,1281.0,1187.0,576.0,377.0,759.0,902.0,884.0,392.0,315.0,355.0,281.0,8659.0
19393.0,Southwest Airlines Co.,11292.0,DEN,"Denver, CO",CO,5576.0,5068.0,5162.0,2484.0,3019.0,4876.0,6090.0,6376.0,4938.0,4989.0,5203.0,5015.0,58796.0
19393.0,Southwest Airlines Co.,11423.0,DSM,"Des Moines, IA",IA,86.0,82.0,103.0,79.0,63.0,81.0,93.0,113.0,98.0,106.0,92.0,87.0,1083.0
19393.0,Southwest Airlines Co.,11433.0,DTW,"Detroit, MI",MI,382.0,353.0,370.0,183.0,185.0,255.0,306.0,381.0,245.0,217.0,277.0,268.0,3422.0
19393.0,Southwest Airlines Co.,11481.0,ECP,"Panama City, FL",FL,100.0,88.0,177.0,137.0,152.0,332.0,401.0,357.0,224.0,228.0,186.0,139.0,2521.0
19393.0,Southwest Airlines Co.,11540.0,ELP,"El Paso, TX",TX,549.0,496.0,502.0,199.0,97.0,183.0,248.0,390.0,276.0,251.0,294.0,251.0,3736.0
19393.0,Southwest Airlines Co.,11697.0,FLL,"Fort Lauderdale, FL",FL,2109.0,1980.0,1960.0,831.0,703.0,897.0,1090.0,873.0,807.0,796.0,1005.0,975.0,14026.0
19393.0,Southwest Airlines Co.,11884.0,GEG,"Spokane, WA",WA,333.0,309.0,319.0,177.0,125.0,228.0,306.0,311.0,198.0,187.0,241.0,237.0,2971.0
19393.0,Southwest Airlines Co.,11986.0,GRR,"Grand Rapids, MI",MI,153.0,163.0,193.0,113.0,61.0,100.0,203.0,182.0,150.0,155.0,149.0,143.0,1765.0
19393.0,Southwest Airlines Co.,11996.0,GSP,"Greer, SC",SC,117.0,107.0,108.0,60.0,61.0,80.0,82.0,96.0,66.0,62.0,96.0,86.0,1021.0
19393.0,Southwest Airlines Co.,12094.0,HDN,"Hayden, CO",CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0
19393.0,Southwest Airlines Co.,12173.0,HNL,"Honolulu, HI",HI,125.0,116.0,119.0,63.0,61.0,63.0,62.0,62.0,60.0,68.0,168.0,186.0,1153.0
19393.0,Southwest Airlines Co.,12191.0,HOU,"Houston, TX",TX,4450.0,4047.0,3788.0,1821.0,1462.0,2294.0,3149.0,3433.0,2803.0,2732.0,3088.0,2955.0,36022.0
19393.0,Southwest Airlines Co.,12206.0,HRL,"Harlingen/San Benito, TX",TX,164.0,151.0,146.0,81.0,63.0,60.0,58.0,80.0,65.0,62.0,67.0,66.0,1063.0
19393.0,Southwest Airlines Co.,12264.0,IAD,"Washington, DC",VA,145.0,134.0,144.0,68.0,59.0,127.0,127.0,146.0,97.0,90.0,82.0,86.0,1305.0
19393.0,Southwest Airlines Co.,12266.0,IAH,"Houston, TX",TX,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19393.0,Southwest Airlines Co.,12278.0,ICT,"Wichita, KS",KS,117.0,111.0,104.0,61.0,61.0,81.0,97.0,115.0,95.0,97.0,109.0,87.0,1135.0
19393.0,Southwest Airlines Co.,12339.0,IND,"Indianapolis, IN",IN,885.0,793.0,939.0,445.0,349.0,516.0,744.0,737.0,500.0,677.0,613.0,497.0,7695.0
19393.0,Southwest Airlines Co.,12391.0,ISP,"Islip, NY",NY,297.0,272.0,285.0,89.0,51.0,131.0,139.0,168.0,105.0,118.0,166.0,143.0,1964.0
19393.0,Southwest Airlines Co.,12451.0,JAX,"Jacksonville, FL",FL,324.0,281.0,351.0,221.0,215.0,275.0,344.0,338.0,260.0,252.0,273.0,248.0,3382.0
19393.0,Southwest Airlines Co.,12758.0,KOA,"Kona, HI",HI,13.0,29.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,142.0
19393.0,Southwest Airlines Co.,12889.0,LAS,"Las Vegas, NV",NV,5671.0,5357.0,4194.0,2152.0,2556.0,3427.0,4325.0,4773.0,3725.0,3694.0,3771.0,3240.0,46885.0
19393.0,Southwest Airlines Co.,12892.0,LAX,"Los Angeles, CA",CA,3140.0,2919.0,2671.0,1111.0,996.0,1369.0,1952.0,1994.0,1382.0,1302.0,1334.0,1206.0,21376.0
19393.0,Southwest Airlines Co.,12896.0,LBB,"Lubbock, TX",TX,236.0,220.0,201.0,64.0,118.0,135.0,130.0,143.0,128.0,119.0,124.0,93.0,1711.0
